timestamp,experiment_name,model,dataset,method,accuracy,precision,recall,f1,notes
2025-12-29 01:08:34,vit_b_16_baseline_asdid,vit_b_16,ASDID,baseline,0.9764,0.9764,0.9762,0.9762,In-domain test on ASDID
2025-12-29 01:08:48,vit_b_16_baseline_mh,vit_b_16,MH,baseline,0.7297,0.6738,0.6827,0.6709,Cross-domain baseline without TTA
2025-12-29 11:02:18,convnext_tiny_baseline_asdid,convnext_tiny,ASDID,baseline,0.9917,0.9914,0.9918,0.9916,In-domain test on ASDID
2025-12-29 11:02:54,convnext_tiny_baseline_mh,convnext_tiny,MH,baseline,0.7838,0.7038,0.7621,0.7250,Cross-domain baseline without TTA
2025-12-29 11:07:54,convnext_tiny_tta_bn_pseudo,convnext_tiny,MH,bn_pseudo,0.6054,0.3371,0.4049,0.3632,F1 gain: -0.3618
2025-12-29 11:08:02,vit_b_16_tta_bn_pseudo,vit_b_16,MH,bn_pseudo,0.7297,0.6738,0.6827,0.6709,F1 gain: 0.0000
2025-12-29 11:09:00,convnext_tiny_tta_memo,convnext_tiny,MH,memo,0.7892,0.7018,0.7533,0.7223,F1 gain: -0.0027
2025-12-29 11:09:05,vit_b_16_tta_memo,vit_b_16,MH,memo,0.7297,0.6738,0.6827,0.6709,F1 gain: 0.0000
2025-12-29 11:10:05,convnext_tiny_tta_tent,convnext_tiny,MH,tent,0.8108,0.7184,0.7635,0.7381,F1 gain: 0.0131
2025-12-29 11:10:08,vit_b_16_tta_tent,vit_b_16,MH,tent,0.7297,0.6738,0.6827,0.6709,F1 gain: 0.0000
2025-12-29 11:15:11,convnext_tiny_tta_eata,convnext_tiny,MH,eata,0.8162,0.7232,0.7660,0.7422,F1 gain: 0.0173
2025-12-29 11:15:25,vit_b_16_tta_eata,vit_b_16,MH,eata,0.7297,0.6738,0.6827,0.6709,F1 gain: 0.0000
2025-12-29 11:16:40,convnext_tiny_tta_ensemble,convnext_tiny,MH,ensemble,0.8162,0.7232,0.7660,0.7422,"Ensemble of EATA + TENT, F1 gain: 0.0173"
2025-12-29 11:16:45,vit_b_16_tta_ensemble,vit_b_16,MH,ensemble,0.7297,0.6738,0.6827,0.6709,"Ensemble of BN+Pseudo + MEMO, F1 gain: 0.0000"
2025-12-29 12:11:17,convnext_tiny_tta_bn_pseudo,convnext_tiny,MH,bn_pseudo,0.7081,0.2360,0.3333,0.2764,F1 gain: -0.4486
2025-12-29 12:38:05,convnext_tiny_tta_bn_pseudo,convnext_tiny,MH,bn_pseudo,0.8649,0.6040,0.6641,0.6320,F1 gain: -0.0930
2025-12-29 12:50:38,convnext_tiny_tta_memo,convnext_tiny,MH,memo,0.7838,0.7038,0.7621,0.7250,F1 gain: 0.0000
2025-12-29 12:57:21,vit_b_16_tta_bn_pseudo,vit_b_16,MH,bn_pseudo,0.8216,0.5441,0.6266,0.5824,F1 gain: -0.0885
2025-12-29 12:57:41,convnext_tiny_tta_tent,convnext_tiny,MH,tent,0.8703,0.6151,0.6667,0.6387,F1 gain: -0.0863
2025-12-29 13:13:11,convnext_tiny_tta_bn_pseudo,convnext_tiny,MH,bn_pseudo,0.8541,0.9097,0.6704,0.6405,F1 gain: -0.0845
2025-12-29 13:15:10,vit_b_16_tta_bn_pseudo,vit_b_16,MH,bn_pseudo,0.7946,0.5220,0.5968,0.5568,F1 gain: -0.1141
2025-12-29 13:18:26,convnext_tiny_tta_memo,convnext_tiny,MH,memo,0.7838,0.7038,0.7621,0.7250,F1 gain: 0.0000
