epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,616.425,0.09571,0.98942,1,0.03252,0.000470594,0.000470594,0.000470594
2,1185.51,0.12309,0.97354,1,0.07991,0.000853182,0.000853182,0.000853182
3,1700.06,0.12406,0.98413,1,0.04643,0.00114146,0.00114146,0.00114146
4,2212.86,0.18097,0.9806,1,0.05827,0.00100459,0.00100459,0.00100459
5,2717.62,0.11477,0.97002,1,0.06459,0.000863116,0.000863116,0.000863116
6,3232.98,0.09806,0.98765,1,0.03858,0.000721645,0.000721645,0.000721645
7,3750.94,0.09623,0.98589,1,0.03604,0.000580174,0.000580174,0.000580174
8,4246.49,0.06732,0.99471,1,0.01899,0.000438703,0.000438703,0.000438703
9,4789.08,0.05869,0.99118,1,0.02195,0.000297232,0.000297232,0.000297232
10,5293.7,0.04892,0.99295,1,0.02207,0.000155761,0.000155761,0.000155761
