timestamp,experiment_name,model,dataset,method,accuracy,precision,recall,f1,notes
2025-12-29 16:40:14,resnet50_tta_bn_pseudo,resnet50,MH,bn_pseudo,0.7838,0.6931,0.7961,0.7271,F1 gain: 0.0120
2025-12-29 16:41:14,vit_b_16_tta_bn_pseudo,vit_b_16,MH,bn_pseudo,0.8270,0.5444,0.6292,0.5837,F1 gain: -0.0872
2025-12-29 16:45:23,resnet50_tta_memo,resnet50,MH,memo,0.7297,0.6615,0.7820,0.6885,F1 gain: -0.0266
2025-12-29 16:47:26,vit_b_16_tta_memo,vit_b_16,MH,memo,0.2919,0.3849,0.6667,0.4227,F1 gain: -0.2482
2025-12-29 16:50:34,resnet50_tta_tent,resnet50,MH,tent,0.2919,0.3849,0.6667,0.4227,F1 gain: -0.2924
2025-12-29 16:53:35,vit_b_16_tta_tent,vit_b_16,MH,tent,0.2919,0.3557,0.6667,0.4084,F1 gain: -0.2626
2025-12-29 16:57:06,resnet50_tta_eata,resnet50,MH,eata,0.2919,0.3849,0.6667,0.4227,F1 gain: -0.2924
2025-12-29 16:57:22,resnet50_tta_ensemble,resnet50,MH,ensemble,0.7730,0.6832,0.7910,0.7173,"Ensemble of BN+Pseudo + MEMO, F1 gain: 0.0022"
2025-12-29 17:01:15,vit_b_16_tta_eata,vit_b_16,MH,eata,0.1297,0.0432,0.3333,0.0766,F1 gain: -0.5944
2025-12-29 17:01:31,vit_b_16_tta_ensemble,vit_b_16,MH,ensemble,0.2865,0.3738,0.6556,0.4116,"Ensemble of BN+Pseudo + MEMO, F1 gain: -0.2593"
2025-12-29 17:08:41,resnet50_tta_msun,resnet50,MH,msun,0.4919,0.6226,0.7154,0.5424,F1 gain: -0.1727
2025-12-29 17:09:08,resnet50_tta_ensemble,resnet50,MH,ensemble,0.7730,0.6832,0.7910,0.7173,"Ensemble of BN+Pseudo + MEMO, F1 gain: 0.0022"
2025-12-29 17:10:39,vit_b_16_tta_msun,vit_b_16,MH,msun,0.2865,0.3846,0.6556,0.4166,F1 gain: -0.2544
2025-12-29 20:58:06,dinov2_vitb14_asdid,dinov2_vitb14,ASDID,baseline,0.9015,0.9003,0.9005,0.9004,
2025-12-29 21:07:11,dinov2_vitb14_mh,dinov2_vitb14,MH,baseline,0.6432,0.5277,0.6221,0.5450,
